CIF,Client Type,Name,Country,Transit,Address1,Address2,Address3,Address4,Email Address,Box Link,Telephone Contact,Risk Rating,Case Status,Current Case Status,Business Documents Outstanding,Entity Self-Certification Form Outstanding,UBOID Outstanding,UBO-Proof of Address Outstanding,UBO in order,ROS officer,File Review Date,1st Notice Date,1st Notice Type,2nd Notice Date,2nd Notice Type,3rd Notice Date,3rd Notice Type,Notification Expiry date,Refresh date (Last KYC),Next KYC Refresh date,Restraint date,Exception date,Exception expiry date,Updates to ICN,Updates on Core,Portfolio
823513976,Business,Anthony Graham,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,anthony.graham@example.com,https://box.com/v/client-docs-1958,(988)264-8627x5537,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,NO,YES,NO,NO,Darren Blackwell,2021-04-29,2021-04-09,EMAIL,2021-04-19,LETTER,2021-04-29,PHONE CALL,2021-05-14,2021-03-30,2024-03-29,,,,NO,NO,Premier Clients - Retail
831472304,Business,Mrs. Marisa Roberts PhD,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,mrs..marisa.roberts.phd@example.com,https://box.com/v/client-docs-1959,9121040725,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,YES,YES,William Simon,2022-02-03,2022-01-14,PHONE CALL,2022-01-24,EMAIL,2022-02-03,EMAIL,2022-02-18,2022-01-04,2025-01-03,,,,NO,YES,Premier Clients - Retail
801770974,Personal,Amanda Campos,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,amanda.campos@example.com,https://box.com/v/client-docs-1960,9932470792,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,YES,YES,Chad Barnett,2021-03-12,2021-02-20,LETTER,2021-03-02,PHONE CALL,2021-03-12,EMAIL,2021-03-27,2021-02-10,2024-02-10,,,,YES,YES,Premier Clients - Retail
835391986,Personal,Ashley Woods,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,ashley.woods@example.com,https://box.com/v/client-docs-1961,160.325.0394,STANDARD,Due for Restrain,Due for Restrain,NO,NO,NO,NO,YES,Mark Romero,2023-05-12,2023-04-22,EMAIL,2023-05-02,PHONE CALL,2023-05-12,LETTER,2023-05-27,2023-04-12,2026-04-11,2023-06-11,,,NO,YES,Private Wealth
807058594,Business,Theresa Pace,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,theresa.pace@example.com,https://box.com/v/client-docs-1962,895.236.1794x964,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,NO,NO,YES,NO,Robert Munoz,2021-10-23,2021-10-03,PHONE CALL,2021-10-13,EMAIL,2021-10-23,LETTER,2021-11-07,2021-09-23,2024-09-22,,,,NO,NO,Business Clients
823763328,Personal,Heather Hanson,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,heather.hanson@example.com,https://box.com/v/client-docs-1963,812.731.7427x183,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,NO,YES,NO,NO,Charles Vega,2021-12-02,2021-11-12,LETTER,2021-11-22,LETTER,2021-12-02,LETTER,2021-12-17,2021-11-02,2024-11-01,,,,YES,NO,Premier Clients - Retail
828482059,Business,Candice Greene,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,candice.greene@example.com,https://box.com/v/client-docs-1964,627.617.6404,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,NO,YES,NO,YES,Diana Leblanc,2023-01-31,2023-01-11,LETTER,2023-01-21,EMAIL,2023-01-31,LETTER,2023-02-15,2023-01-01,2025-12-31,,,,YES,NO,Private Wealth
818934967,Business,Jacob Miller,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,jacob.miller@example.com,https://box.com/v/client-docs-1965,+1-638-110-5022,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,NO,NO,NO,YES,Lindsey Johnson,2023-12-10,2023-11-20,LETTER,2023-11-30,EMAIL,2023-12-10,PHONE CALL,2023-12-25,2023-11-10,2026-11-09,,,,NO,NO,Premier Clients - Retail
856529381,Personal,Dorothy Fields,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,dorothy.fields@example.com,https://box.com/v/client-docs-1966,001-528-276-7742,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,NO,NO,NO,YES,Daniel Lyons,2021-11-23,2021-11-03,EMAIL,2021-11-13,PHONE CALL,2021-11-23,PHONE CALL,2021-12-08,2021-10-24,2024-10-23,,,,YES,YES,Private Wealth
824800815,Personal,Paul Wilkins,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,paul.wilkins@example.com,https://box.com/v/client-docs-1967,327.839.6921x510,MEDIUM,Due for Restrain,Due for Restrain,YES,YES,YES,NO,YES,James Burns,2022-02-22,2022-02-02,EMAIL,2022-02-12,PHONE CALL,2022-02-22,LETTER,2022-03-09,2022-01-23,2025-01-22,2022-03-24,,,NO,YES,Private Wealth
822107274,Business,Andrea Lee,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,andrea.lee@example.com,https://box.com/v/client-docs-1968,+1-486-965-3715x5731,MEDIUM,Due for Restrain,Due for Restrain,NO,YES,YES,YES,NO,Heather Smith,2022-05-21,2022-05-01,LETTER,2022-05-11,PHONE CALL,2022-05-21,PHONE CALL,2022-06-05,2022-04-21,2025-04-20,2022-06-20,,,NO,YES,Premier Clients - Retail
819487263,Business,Cheyenne Hawkins,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,cheyenne.hawkins@example.com,https://box.com/v/client-docs-1969,095.079.3377,MEDIUM,Due for Restrain,Due for Restrain,NO,YES,YES,YES,YES,Summer Garcia,2023-05-06,2023-04-16,LETTER,2023-04-26,EMAIL,2023-05-06,EMAIL,2023-05-21,2023-04-06,2026-04-05,2023-06-05,,,NO,NO,Private Wealth
838094887,Business,John Lee,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,john.lee@example.com,https://box.com/v/client-docs-1970,148-502-7590x826,STANDARD,Due for Restrain,Due for Restrain,NO,YES,NO,NO,NO,Alicia Lawson,2021-02-16,2021-01-27,LETTER,2021-02-06,LETTER,2021-02-16,PHONE CALL,2021-03-03,2021-01-17,2024-01-17,2021-03-18,,,NO,YES,Business Clients
844917127,Business,Christopher Castro,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,christopher.castro@example.com,https://box.com/v/client-docs-1971,+1-712-189-4523x9596,MEDIUM,Due for Restrain,Due for Restrain,NO,NO,YES,NO,YES,Bonnie Clark,2021-07-01,2021-06-11,LETTER,2021-06-21,LETTER,2021-07-01,EMAIL,2021-07-16,2021-06-01,2024-05-31,2021-07-31,,,YES,NO,Business Clients
810597909,Personal,Rita Meadows,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,rita.meadows@example.com,https://box.com/v/client-docs-1972,+1-875-175-7903x230,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,YES,NO,NO,NO,Krista Ryan,2021-11-15,2021-10-26,LETTER,2021-11-05,PHONE CALL,2021-11-15,PHONE CALL,2021-11-30,2021-10-16,2024-10-15,,,,YES,NO,Premier Clients - Retail
859720997,Business,Sharon Mercado,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,sharon.mercado@example.com,https://box.com/v/client-docs-1973,175-024-1300x7886,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,NO,NO,YES,NO,NO,Gregory Haynes MD,2023-05-14,2023-04-24,EMAIL,2023-05-04,LETTER,2023-05-14,LETTER,2023-05-29,2023-04-14,2026-04-13,,,,NO,NO,Premier Clients - Retail
809791648,Business,Joshua Herring,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,joshua.herring@example.com,https://box.com/v/client-docs-1974,9591450497,STANDARD,Out Of Order,Out Of Order,NO,YES,NO,NO,YES,David Gutierrez,2021-03-04,2021-02-12,EMAIL,2021-02-22,EMAIL,2021-03-04,EMAIL,2021-03-19,2021-02-02,2024-02-02,,2021-04-13,2021-05-03,YES,NO,Private Wealth
824810882,Business,James Griffin,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,james.griffin@example.com,https://box.com/v/client-docs-1975,651.814.2043x84504,STANDARD,Due for Restrain,Due for Restrain,YES,NO,YES,YES,YES,Brianna Tucker,2021-12-15,2021-11-25,PHONE CALL,2021-12-05,LETTER,2021-12-15,PHONE CALL,2021-12-30,2021-11-15,2024-11-14,2022-01-14,,,YES,YES,Business Clients
843152725,Personal,Matthew Hickman,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,matthew.hickman@example.com,https://box.com/v/client-docs-1976,+1-394-166-7407x886,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,YES,NO,YES,NO,Nancy Hancock,2023-04-21,2023-04-01,PHONE CALL,2023-04-11,PHONE CALL,2023-04-21,PHONE CALL,2023-05-06,2023-03-22,2026-03-21,,,,NO,YES,Premier Clients - Retail
847583460,Business,Sara Ward,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,sara.ward@example.com,https://box.com/v/client-docs-1977,749-110-6672x64187,STANDARD,Out Of Order,Out Of Order,YES,YES,YES,NO,YES,Marissa Cole,2022-05-18,2022-04-28,PHONE CALL,2022-05-08,EMAIL,2022-05-18,PHONE CALL,2022-06-02,2022-04-18,2025-04-17,,2022-06-27,2022-07-17,YES,NO,Premier Clients - Retail
853783612,Business,Emily Gibson,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,emily.gibson@example.com,https://box.com/v/client-docs-1978,1249316459,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,YES,YES,NO,YES,Bridget English,2023-03-26,2023-03-06,EMAIL,2023-03-16,LETTER,2023-03-26,LETTER,2023-04-10,2023-02-24,2026-02-23,,,,YES,YES,Business Clients
822635622,Personal,Dr. Jessica Smith,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,dr..jessica.smith@example.com,https://box.com/v/client-docs-1979,040.793.6518x756,MEDIUM,Due for Restrain,Due for Restrain,NO,YES,YES,YES,YES,Cassandra Reynolds,2023-04-12,2023-03-23,EMAIL,2023-04-02,PHONE CALL,2023-04-12,LETTER,2023-04-27,2023-03-13,2026-03-12,2023-05-12,,,YES,NO,Business Clients
840760098,Business,Leah Sherman,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,leah.sherman@example.com,https://box.com/v/client-docs-1980,001-327-357-1256x72123,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,YES,NO,NO,YES,Juan Peterson,2023-03-26,2023-03-06,EMAIL,2023-03-16,EMAIL,2023-03-26,LETTER,2023-04-10,2023-02-24,2026-02-23,,,,YES,NO,Business Clients
840082936,Personal,Shannon Bailey,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,shannon.bailey@example.com,https://box.com/v/client-docs-1981,001-153-242-5660,STANDARD,Out Of Order,Out Of Order,NO,NO,YES,NO,YES,Joshua Ramsey,2021-11-14,2021-10-25,LETTER,2021-11-04,PHONE CALL,2021-11-14,LETTER,2021-11-29,2021-10-15,2024-10-14,,2021-12-24,2022-01-13,NO,YES,Private Wealth
839771984,Personal,Shane Rangel,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,shane.rangel@example.com,https://box.com/v/client-docs-1982,+1-369-030-3413,MEDIUM,Out Of Order,Out Of Order,YES,YES,YES,NO,YES,Jennifer Pena,2022-01-29,2022-01-09,LETTER,2022-01-19,LETTER,2022-01-29,LETTER,2022-02-13,2021-12-30,2024-12-29,,2022-03-10,2022-03-30,NO,YES,Business Clients
814522300,Business,Jose Hamilton,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,jose.hamilton@example.com,https://box.com/v/client-docs-1983,+1-499-770-7060,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,YES,NO,Dominic Bennett,2021-02-14,2021-01-25,PHONE CALL,2021-02-04,EMAIL,2021-02-14,EMAIL,2021-03-01,2021-01-15,2024-01-15,,,,YES,YES,Private Wealth
859728872,Personal,Rachel Wright,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,rachel.wright@example.com,https://box.com/v/client-docs-1984,004.917.4436x871,MEDIUM,Out Of Order,Out Of Order,YES,NO,NO,NO,NO,Mallory Abbott,2023-08-11,2023-07-22,PHONE CALL,2023-08-01,PHONE CALL,2023-08-11,LETTER,2023-08-26,2023-07-12,2026-07-11,,2023-09-20,2023-10-10,NO,YES,Private Wealth
816595551,Business,Jonathan Park,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,jonathan.park@example.com,https://box.com/v/client-docs-1985,(215)774-0545x86618,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,YES,NO,NO,NO,Philip Ramsey,2022-02-17,2022-01-28,LETTER,2022-02-07,LETTER,2022-02-17,LETTER,2022-03-04,2022-01-18,2025-01-17,,,,YES,NO,Premier Clients - Retail
806601765,Personal,Donald Burns,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,donald.burns@example.com,https://box.com/v/client-docs-1986,(314)198-8726x349,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,YES,YES,YES,NO,Mark Taylor,2021-03-24,2021-03-04,PHONE CALL,2021-03-14,LETTER,2021-03-24,EMAIL,2021-04-08,2021-02-22,2024-02-22,,,,YES,NO,Premier Clients - Retail
859150286,Business,Laura Richards,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,laura.richards@example.com,https://box.com/v/client-docs-1987,215.900.7132x04484,STANDARD,Due for Restrain,Due for Restrain,YES,NO,NO,YES,YES,Heather Chavez,2021-10-14,2021-09-24,EMAIL,2021-10-04,EMAIL,2021-10-14,EMAIL,2021-10-29,2021-09-14,2024-09-13,2021-11-13,,,NO,YES,Business Clients
853676459,Personal,Andrea Greer,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,andrea.greer@example.com,https://box.com/v/client-docs-1988,+1-417-660-4568x93911,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,NO,YES,NO,YES,Robert Collins,2023-06-18,2023-05-29,LETTER,2023-06-08,LETTER,2023-06-18,EMAIL,2023-07-03,2023-05-19,2026-05-18,,,,NO,NO,Private Wealth
836177093,Business,James Knapp,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,james.knapp@example.com,https://box.com/v/client-docs-1989,+1-765-766-6476x08520,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,YES,NO,NO,Nancy Peterson,2022-10-12,2022-09-22,EMAIL,2022-10-02,PHONE CALL,2022-10-12,LETTER,2022-10-27,2022-09-12,2025-09-11,,,,YES,YES,Premier Clients - Retail
801252927,Business,Laurie Collins,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,laurie.collins@example.com,https://box.com/v/client-docs-1990,217-504-9988x78298,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,NO,YES,NO,NO,Whitney Mcdonald,2023-02-28,2023-02-08,EMAIL,2023-02-18,PHONE CALL,2023-02-28,PHONE CALL,2023-03-15,2023-01-29,2026-01-28,,,,NO,YES,Business Clients
850496451,Personal,Donald Jackson,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,donald.jackson@example.com,https://box.com/v/client-docs-1991,(185)069-2987x38640,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,YES,YES,YES,YES,Robert Taylor,2023-10-22,2023-10-02,PHONE CALL,2023-10-12,LETTER,2023-10-22,EMAIL,2023-11-06,2023-09-22,2026-09-21,,,,YES,NO,Private Wealth
859367131,Personal,Tyler Harris,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,tyler.harris@example.com,https://box.com/v/client-docs-1992,3214303183,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,YES,NO,NO,YES,Dr. Cynthia Hoover DVM,2021-03-15,2021-02-23,EMAIL,2021-03-05,LETTER,2021-03-15,LETTER,2021-03-30,2021-02-13,2024-02-13,,,,NO,YES,Premier Clients - Retail
843674495,Personal,Brian Melton,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,brian.melton@example.com,https://box.com/v/client-docs-1993,065-488-5587x552,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,NO,NO,YES,NO,Heather Hudson,2022-02-18,2022-01-29,EMAIL,2022-02-08,PHONE CALL,2022-02-18,LETTER,2022-03-05,2022-01-19,2025-01-18,,,,YES,NO,Business Clients
844199412,Business,Benjamin Lee,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,benjamin.lee@example.com,https://box.com/v/client-docs-1994,+1-745-783-5179x838,MEDIUM,Out Of Order,Out Of Order,NO,NO,NO,NO,NO,Timothy Douglas,2022-10-02,2022-09-12,EMAIL,2022-09-22,EMAIL,2022-10-02,EMAIL,2022-10-17,2022-09-02,2025-09-01,,2022-11-11,2022-12-01,YES,NO,Private Wealth
849650363,Business,Wayne Moses,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,wayne.moses@example.com,https://box.com/v/client-docs-1995,+1-633-895-8641x782,STANDARD,Out Of Order,Out Of Order,YES,YES,NO,NO,NO,Michael Mckee,2022-07-11,2022-06-21,EMAIL,2022-07-01,EMAIL,2022-07-11,EMAIL,2022-07-26,2022-06-11,2025-06-10,,2022-08-20,2022-09-09,YES,NO,Private Wealth
839046290,Business,Lindsay Brady,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,lindsay.brady@example.com,https://box.com/v/client-docs-1996,624-694-7629,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,YES,YES,YES,NO,Robert Sutton,2022-09-25,2022-09-05,PHONE CALL,2022-09-15,PHONE CALL,2022-09-25,PHONE CALL,2022-10-10,2022-08-26,2025-08-25,,,,YES,YES,Business Clients
857277556,Business,Brenda Fox,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,brenda.fox@example.com,https://box.com/v/client-docs-1997,(179)736-7990x102,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,YES,NO,YES,NO,Tara Sweeney,2023-01-29,2023-01-09,EMAIL,2023-01-19,EMAIL,2023-01-29,EMAIL,2023-02-13,2022-12-30,2025-12-29,,,,NO,YES,Business Clients
847605021,Personal,Lisa Brown,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,lisa.brown@example.com,https://box.com/v/client-docs-1998,+1-520-387-2121x519,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,YES,YES,YES,NO,Donald Bell,2023-09-12,2023-08-23,EMAIL,2023-09-02,LETTER,2023-09-12,LETTER,2023-09-27,2023-08-13,2026-08-12,,,,YES,NO,Business Clients
855103298,Personal,Carolyn Torres,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,carolyn.torres@example.com,https://box.com/v/client-docs-1999,001-462-201-6566x3393,MEDIUM,Due for Restrain,Due for Restrain,YES,NO,NO,NO,YES,Mrs. Kelly Roberts,2022-11-17,2022-10-28,PHONE CALL,2022-11-07,EMAIL,2022-11-17,EMAIL,2022-12-02,2022-10-18,2025-10-17,2022-12-17,,,YES,NO,Private Wealth
835905863,Business,Janet Morris,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,janet.morris@example.com,https://box.com/v/client-docs-2000,+1-814-030-7559x84142,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,NO,NO,Stephen Moreno,2021-09-03,2021-08-14,LETTER,2021-08-24,EMAIL,2021-09-03,EMAIL,2021-09-18,2021-08-04,2024-08-03,,,,YES,YES,Private Wealth
836718056,Business,Travis Williams,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,travis.williams@example.com,https://box.com/v/client-docs-2001,509-332-8099x970,MEDIUM,Out Of Order,Out Of Order,YES,YES,YES,YES,YES,Derrick Turner,2023-06-05,2023-05-16,PHONE CALL,2023-05-26,EMAIL,2023-06-05,LETTER,2023-06-20,2023-05-06,2026-05-05,,2023-07-15,2023-08-04,NO,YES,Private Wealth
834748693,Business,Angelica Solomon,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,angelica.solomon@example.com,https://box.com/v/client-docs-2002,7718235327,STANDARD,Due for Restrain,Due for Restrain,YES,NO,NO,NO,YES,Marvin Burns,2021-05-04,2021-04-14,EMAIL,2021-04-24,EMAIL,2021-05-04,PHONE CALL,2021-05-19,2021-04-04,2024-04-03,2021-06-03,,,NO,YES,Premier Clients - Retail
843233359,Business,David Sanders,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,david.sanders@example.com,https://box.com/v/client-docs-2003,275.735.5481x471,STANDARD,Due for Restrain,Due for Restrain,NO,YES,YES,NO,NO,James Patterson,2022-08-27,2022-08-07,EMAIL,2022-08-17,EMAIL,2022-08-27,EMAIL,2022-09-11,2022-07-28,2025-07-27,2022-09-26,,,NO,NO,Premier Clients - Retail
800130481,Personal,Michael Carpenter,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,michael.carpenter@example.com,https://box.com/v/client-docs-2004,001-929-427-0215x01343,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,NO,YES,YES,YES,YES,Laura Kim,2022-09-25,2022-09-05,PHONE CALL,2022-09-15,PHONE CALL,2022-09-25,PHONE CALL,2022-10-10,2022-08-26,2025-08-25,,,,NO,NO,Premier Clients - Retail
845567944,Personal,Scott Ryan,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,scott.ryan@example.com,https://box.com/v/client-docs-2005,+1-582-477-3391x299,STANDARD,Due for Restrain,Due for Restrain,NO,NO,YES,YES,NO,Connie Ellison,2021-11-27,2021-11-07,PHONE CALL,2021-11-17,EMAIL,2021-11-27,LETTER,2021-12-12,2021-10-28,2024-10-27,2021-12-27,,,NO,NO,Business Clients
858033614,Personal,Ashley Downs,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,ashley.downs@example.com,https://box.com/v/client-docs-2006,(939)557-1421x162,MEDIUM,Out Of Order,Out Of Order,NO,NO,YES,YES,YES,Mrs. Tammy Myers,2023-07-16,2023-06-26,LETTER,2023-07-06,LETTER,2023-07-16,EMAIL,2023-07-31,2023-06-16,2026-06-15,,2023-08-25,2023-09-14,YES,NO,Private Wealth
815087730,Personal,Megan George,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,megan.george@example.com,https://box.com/v/client-docs-2007,0443643644,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,YES,NO,NO,NO,Rodney Goodman,2022-08-22,2022-08-02,LETTER,2022-08-12,LETTER,2022-08-22,PHONE CALL,2022-09-06,2022-07-23,2025-07-22,,,,YES,NO,Private Wealth
833462574,Business,Rebecca Chapman,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,rebecca.chapman@example.com,https://box.com/v/client-docs-2008,220-072-2768x352,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,YES,NO,NO,Anthony Burton,2021-09-20,2021-08-31,PHONE CALL,2021-09-10,LETTER,2021-09-20,PHONE CALL,2021-10-05,2021-08-21,2024-08-20,,,,YES,YES,Private Wealth
802212459,Business,Tamara Dorsey,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,tamara.dorsey@example.com,https://box.com/v/client-docs-2009,710-933-8530x00900,STANDARD,Due for Restrain,Due for Restrain,NO,YES,YES,YES,NO,Christine Cantrell,2023-04-12,2023-03-23,EMAIL,2023-04-02,LETTER,2023-04-12,LETTER,2023-04-27,2023-03-13,2026-03-12,2023-05-12,,,NO,NO,Premier Clients - Retail
856870736,Business,Nicholas Coleman,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,nicholas.coleman@example.com,https://box.com/v/client-docs-2010,754.658.6172x8470,STANDARD,Out Of Order,Out Of Order,YES,YES,YES,NO,YES,Donald Fisher,2023-12-24,2023-12-04,PHONE CALL,2023-12-14,EMAIL,2023-12-24,PHONE CALL,2024-01-08,2023-11-24,2026-11-23,,2024-02-02,2024-02-22,NO,YES,Premier Clients - Retail
850718306,Personal,Clinton Mitchell,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,clinton.mitchell@example.com,https://box.com/v/client-docs-2011,(568)415-4635x1757,STANDARD,Out Of Order,Out Of Order,NO,NO,YES,NO,NO,William Avila,2023-01-14,2022-12-25,PHONE CALL,2023-01-04,PHONE CALL,2023-01-14,LETTER,2023-01-29,2022-12-15,2025-12-14,,2023-02-23,2023-03-15,YES,YES,Premier Clients - Retail
845576069,Personal,Kayla Rodriguez,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,kayla.rodriguez@example.com,https://box.com/v/client-docs-2012,001-769-659-5965x6003,STANDARD,Due for Restrain,Due for Restrain,YES,NO,NO,YES,YES,Jo Edwards,2023-08-21,2023-08-01,EMAIL,2023-08-11,PHONE CALL,2023-08-21,PHONE CALL,2023-09-05,2023-07-22,2026-07-21,2023-09-20,,,YES,NO,Business Clients
806360469,Personal,Ryan Doyle,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,ryan.doyle@example.com,https://box.com/v/client-docs-2013,421.092.2251x45579,STANDARD,Out Of Order,Out Of Order,NO,NO,NO,YES,NO,Sara Gonzalez,2021-03-03,2021-02-11,PHONE CALL,2021-02-21,PHONE CALL,2021-03-03,EMAIL,2021-03-18,2021-02-01,2024-02-01,,2021-04-12,2021-05-02,NO,YES,Business Clients
837779001,Business,Crystal Sanders,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,crystal.sanders@example.com,https://box.com/v/client-docs-2014,4142643029,STANDARD,Out Of Order,Out Of Order,YES,YES,YES,YES,NO,Amber Jones,2021-06-01,2021-05-12,PHONE CALL,2021-05-22,EMAIL,2021-06-01,EMAIL,2021-06-16,2021-05-02,2024-05-01,,2021-07-11,2021-07-31,YES,YES,Business Clients
815041035,Personal,Brittney Garza,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,brittney.garza@example.com,https://box.com/v/client-docs-2015,(109)352-4392,STANDARD,Out Of Order,Out Of Order,YES,YES,NO,NO,NO,Mark Johnson,2022-09-07,2022-08-18,LETTER,2022-08-28,LETTER,2022-09-07,LETTER,2022-09-22,2022-08-08,2025-08-07,,2022-10-17,2022-11-06,NO,NO,Private Wealth
853559241,Personal,Megan Raymond,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,megan.raymond@example.com,https://box.com/v/client-docs-2016,962-840-7695x3908,MEDIUM,Out Of Order,Out Of Order,NO,NO,YES,NO,NO,Timothy Hopkins,2021-05-27,2021-05-07,LETTER,2021-05-17,EMAIL,2021-05-27,PHONE CALL,2021-06-11,2021-04-27,2024-04-26,,2021-07-06,2021-07-26,NO,YES,Business Clients
